Category,Item,Qty,Unit Price (USD),Line Total (USD),Source,Link,Notes
Sonar,Humminbird HELIX 7 CHIRP MEGA SI GPS G4 fish finder (transducer included),1,715,715,Amazon,https://www.amazon.com/dp/B0CG6P1TD5,ASIN B0CG6P1TD5; model 411930-1
Hull,"Freein inflatable bodyboard, 40"" x 21"" x 4""",1,80,80,Amazon,https://www.amazon.com/dp/B0F1C778M2,ASIN B0F1C778M2; hull/float platform
Frame,"Charlotte Pipe 1/2"" x 10 ft CPVC SDR11 pipe, plain end",1,10,10,Home Depot,https://www.homedepot.com/p/Charlotte-Pipe-1-2-In-X-10-Ft-CPVC-SDR11-Pipe-Plain-End-Corrosion-Resistant-for-Hot-and-Cold-Water-Distribution-CTS-12005-0600/100170202,0.625 in OD / 0.485 in ID / 0.068 in wall
Frame,1 in. x 2 in. x 8 ft. Furring Strip Board,1,1,1,Home Depot,https://www.homedepot.com/p/1-in-x-2-in-x-8-ft-Furring-Strip-Board-160954/100009348,"Actual Product Thickness (in.) 0.75 in, "
Propulsion,"APISQUEEN underwater thruster, CCW, 1.3 kg thrust",1,65,65,Amazon,https://www.amazon.com/dp/B0C74CMXR9?lv=shuf&channelId=500&plpRedirect=mhFallback&th=1,"ASIN B0C74CMXR9; 12-16V (3-4S), 8A max, 130W, 210 g"
Propulsion,"APISQUEEN underwater thruster, CW, 1.3 kg thrust",1,65,65,Amazon,https://www.amazon.com/dp/B0C74DFDYW,ASIN B0C74DFDYW; counter-rotating pair with above
Control,Pixhawk PX4 2.4.8 flight controller kit,1,220,220,Amazon,https://www.amazon.com/Controller-Wireless-Telemetry-Quadcopter-Multirotor/dp/B07NRMFTXL,"ASIN B07NRMFTXL; incl. NEO-M8N GPS, 433 MHz telemetry pair, power module, PPM, mini OSD, safety switch, buzzer, I2C splitter"
Control,HotRC transmitter + F-06A receiver set,1,30,30,Amazon,https://www.amazon.com/dp/B09Y8XT53X,ASIN B09Y8XT53X
Power,"Akiisolo AK015 LiFePO4 battery, 12.8V 15Ah (192Wh) + charger",1,40,40,Amazon,https://www.amazon.com/dp/B0DLP6HWR5,ASIN B0DLP6HWR5; 20A continuous / 30A peak
Power,XT60H connector pairs (male/female),1,12,12,Amazon,https://www.amazon.com/dp/B0DPBP1N59,ASIN B0DPBP1N59
